,Unnamed: 0,Company name,Date,Ticker,Industry,Country,Temperature Rise Limit,Industry Rating,Laggard,Average,Leader,comprehensiveness - % of company footprint covered by target
46,328,"WEST PHARMACEUTICAL SERVICES, INC.",2023-05-25,(WST),Industry: Health Care Equipment & Supplies,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that WEST PHARMACEUTICAL SERVICES, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",West Pharmaceutical is a leader among 83 companies in the health care equipment & supplies industry.,"West Pharmaceutical is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, PRODUCT SAFETY & QUALITY, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, PRODUCT SAFETY & QUALITY, CARBON EMISSIONS, ","West Pharmaceutical is not a leader on any of the Key Issues that we evaluated for its industry., ",11.78%
47,342,"ASE Technology Holding Co., Ltd.",2023-05-25,(3711),Industry: Semiconductors & Semiconductor Equipment,Country/Region: Taiwan,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that ASE Technology Holding Co., Ltd. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",ASE is Average among 91 companies in the semiconductors & semiconductor equipment industry.,"CORPORATE GOVERNANCE, ","WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, CONTROVERSIAL SOURCING, ",100.0%
48,343,ASELSAN ELEKTRONIK SANAYI VE TICARET ANONIM SIRKETI,2023-05-25,(ASELS.E),Industry: Aerospace & Defense,Country/Region: Turkey,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that ASELSAN ELEKTRONIK SANAYI VE TICARET ANONIM SIRKETI is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Aselsan is Average among 34 companies in the aerospace & defense industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, ","LABOR MANAGEMENT, PRODUCT SAFETY & QUALITY, ",
49,344,"ARROW ELECTRONICS, INC.",2023-05-25,(ARW),"Industry: Electronic Equipment, Instruments & Components",Country/Region: United States of America,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that ARROW ELECTRONICS, INC. is misaligned with global climate goals and is in line with a business-as-usual scenario.","Arrow Electronics is Average among 71 companies in the electronic equipment, instruments & components industry.","Arrow Electronics is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, OPPORTUNITIES IN CLEAN TECH, CHEMICAL SAFETY, CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, OPPORTUNITIES IN CLEAN TECH, CHEMICAL SAFETY, CONTROVERSIAL SOURCING, ","CORPORATE BEHAVIOR, ",
50,363,E INK HOLDINGS INC.,2023-05-25,(8069),"Industry: Electronic Equipment, Instruments & Components",Country/Region: Taiwan,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that E INK HOLDINGS INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,"E INK is Average among 71 companies in the electronic equipment, instruments & components industry.","E INK is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CHEMICAL SAFETY, OPPORTUNITIES IN CLEAN TECH, CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CHEMICAL SAFETY, OPPORTUNITIES IN CLEAN TECH, CONTROVERSIAL SOURCING, ","LABOR MANAGEMENT, ",
51,364,COMPAGNIE DE SAINT-GOBAIN SA,2023-05-25,(SGO),Industry: Building Products,Country/Region: France,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that COMPAGNIE DE SAINT-GOBAIN SA is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Saint-Gobain is Average among 27 companies in the building products industry.,"CORPORATE BEHAVIOR, LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, HEALTH & SAFETY, OPPORTUNITIES IN CLEAN TECH, ","Saint-Gobain is not a leader on any of the Key Issues that we evaluated for its industry., ",100.0%
52,368,MONSTER BEVERAGE CORPORATION,2023-05-25,(MNST),Industry: Beverages,Country/Region: United States of America,An Implied Temperature Rise of between 2°C and 3.2°C indicates that MONSTER BEVERAGE CORPORATION is misaligned with global climate goals and is in line with a business-as-usual scenario.,Monster Beverage is Average among 52 companies in the beverages industry.,"OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, PRODUCT SAFETY & QUALITY, HEALTH & SAFETY, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PACKAGING MATERIAL & WASTE, ","Monster Beverage is not a leader on any of the Key Issues that we evaluated for its industry., ",
53,369,Suntory Beverage & Food Limited,2023-05-25,(2587),Industry: Beverages,Country/Region: Japan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Suntory Beverage & Food Limited is misaligned with global climate goals and is in line with a business-as-usual scenario.,Suntory is Average among 52 companies in the beverages industry.,"Suntory is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, PACKAGING MATERIAL & WASTE, OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, PRODUCT SAFETY & QUALITY, HEALTH & SAFETY, PRODUCT CARBON FOOTPRINT, ","CORPORATE BEHAVIOR, PACKAGING MATERIAL & WASTE, OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, PRODUCT SAFETY & QUALITY, HEALTH & SAFETY, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, ",100.0%
54,370,MOLSON COORS BEVERAGE COMPANY,2023-05-25,(TAP),Industry: Beverages,Country/Region: United States of America,An Implied Temperature Rise of between 2°C and 3.2°C indicates that MOLSON COORS BEVERAGE COMPANY is misaligned with global climate goals and is in line with a business-as-usual scenario.,Molson Coors is a leader among 52 companies in the beverages industry.,"Molson Coors is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, PACKAGING MATERIAL & WASTE, PRODUCT SAFETY & QUALITY, HEALTH & SAFETY, ","CORPORATE GOVERNANCE, PACKAGING MATERIAL & WASTE, PRODUCT SAFETY & QUALITY, HEALTH & SAFETY, ","CORPORATE BEHAVIOR, WATER STRESS, PRODUCT CARBON FOOTPRINT, ",100.0%
55,419,"Beijing Originwater Technology Co., Ltd.",2023-05-25,(002153),Industry: Software & Services,Country/Region: China,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Beijing Shiji Information Technology Co., Ltd. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",Beijing Shiji is Average among 111 companies in the software & services industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, CARBON EMISSIONS, ","Beijing Shiji does not score in the average range on any of the Key Issues that we evaluated for its industry., PRIVACY & DATA SECURITY, ","PRIVACY & DATA SECURITY, ",
56,421,HOWMET AEROSPACE INC.,2023-05-25,(HWM),Industry: Aerospace & Defense,Country/Region: United States of America,An Implied Temperature Rise of above 3.2°C indicates that HOWMET AEROSPACE INC. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Howmet Aerospace (Howmet) is Average among 34 companies in the aerospace & defense industry.,"PRODUCT SAFETY & QUALITY, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ","LABOR MANAGEMENT, ",
57,426,NUCOR CORPORATION,2023-05-25,(NUE),Industry: Steel,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that NUCOR CORPORATION is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Nucor is Average among 31 companies in the steel industry.,"Nucor is not a laggard on any of the Key Issues that we evaluated for its industry., HEALTH & SAFETY, WATER STRESS, ","HEALTH & SAFETY, WATER STRESS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, LABOR MANAGEMENT, ",
58,427,"China National Nuclear Power Co., Ltd",2023-05-25,(601985),Industry: Utilities,Country/Region: China,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that China National Nuclear Power Co., Ltd is misaligned with global climate goals and is in line with a business-as-usual scenario.",CNNP is a laggard among 138 companies in the utilities industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, WATER STRESS, ","COMMUNITY RELATIONS, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN RENEWABLE ENERGY, ","CARBON EMISSIONS, ",
59,432,POLYUS PJSC,2023-05-25,(PLZL),Industry: Metals and Mining - Precious Metals,Country/Region: Russia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that POLYUS PJSC is misaligned with global climate goals and is in line with a business-as-usual scenario.,Polyus Pao is a laggard among 23 companies in the metals and mining - precious metals industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, LABOR MANAGEMENT, COMMUNITY RELATIONS, ","HEALTH & SAFETY, TOXIC EMISSIONS & WASTE, WATER STRESS, ",
60,433,ALDAR PROPERTIES PJSC,2023-05-25,(ALDAR),Industry: Real Estate Development & Diversified Activities,Country/Region: United Arab Emirates,An Implied Temperature Rise of below 1.5°C indicates that ALDAR PROPERTIES PJSC is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Aldar is Average among 55 companies in the real estate development & diversified activities industry.,"Aldar is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, ","HEALTH & SAFETY, ",100.0%
61,434,Abu Dhabi Islamic Bank PJSC,2023-05-25,(ADIB),Industry: Banks,Country/Region: United Arab Emirates,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Abu Dhabi Islamic Bank PJSC is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Abu Dhabi Islamic Bank PJSC is Average among 198 companies in the banks industry.,"CORPORATE GOVERNANCE, ACCESS TO FINANCE, ","CORPORATE BEHAVIOR, CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, FINANCING ENVIRONMENTAL IMPACT, ","PRIVACY & DATA SECURITY, ",
62,435,Emirates Telecommunications Group Company PJSC,2023-05-25,(EAND),Industry: Telecommunication Services,Country/Region: United Arab Emirates,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Emirates Telecommunications Group Company PJSC is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Emirates Telecommunications is Average among 66 companies in the telecommunication services industry.,"CORPORATE GOVERNANCE, CARBON EMISSIONS, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, ","PRIVACY & DATA SECURITY, ",
63,436,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC,2023-05-25,(ADNOCDIST),"Industry: Oil & Gas Refining, Marketing, Transportation & Storage",Country/Region: United Arab Emirates,An Implied Temperature Rise of above 3.2°C indicates that ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,"ADNOC Distribution is Average among 44 companies in the oil & gas refining, marketing, transportation & storage industry.","CORPORATE GOVERNANCE, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, ","CARBON EMISSIONS, ",
64,512,PLUG POWER INC.,2023-05-25,(PLUG),Industry: Electrical Equipment,Country/Region: United States of America,An Implied Temperature Rise of between 2°C and 3.2°C indicates that PLUG POWER INC. is misaligned with global climate goals and is in line with a business-as-usual scenario.,Plug Power is a leader among 55 companies in the electrical equipment industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, ","LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ",
65,513,VIPSHOP HOLDINGS LIMITED,2023-05-25,(V1IP34),Industry: Retail - Consumer Discretionary,Country/Region: China,An Implied Temperature Rise of between 2°C and 3.2°C indicates that VIPSHOP HOLDINGS LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,Vipshop is Average among 70 companies in the retail - consumer discretionary industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, PRODUCT CARBON FOOTPRINT, ","PRIVACY & DATA SECURITY, ",
66,532,"W.W. GRAINGER, INC.",2023-05-25,(GWW),Industry: Trading Companies & Distributors,Country/Region: United States of America,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that W.W. GRAINGER, INC. is misaligned with global climate goals and is in line with a business-as-usual scenario.",Grainger is a leader among 25 companies in the trading companies & distributors industry.,"Grainger is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, ",1.05%
67,545,"ZHEJIANG DAHUA TECHNOLOGY CO., LTD.",2023-05-25,(002236),"Industry: Electronic Equipment, Instruments & Components",Country/Region: China,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that ZHEJIANG DAHUA TECHNOLOGY CO., LTD. is misaligned with global climate goals and is in line with a business-as-usual scenario.","Dahua Technology is a laggard among 71 companies in the electronic equipment, instruments & components industry.","CORPORATE BEHAVIOR, CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","Dahua Technology is not a leader on any of the Key Issues that we evaluated for its industry., ",
68,546,OMRON Corporation,2023-05-25,(6645),"Industry: Electronic Equipment, Instruments & Components",Country/Region: Japan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that OMRON Corporation is misaligned with global climate goals and is in line with a business-as-usual scenario.,"OMRON is a leader among 71 companies in the electronic equipment, instruments & components industry.","OMRON is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, CHEMICAL SAFETY, CONTROVERSIAL SOURCING, ","CORPORATE BEHAVIOR, CHEMICAL SAFETY, CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ",30.61%
69,547,SUMCO CORPORATION,2023-05-25,(3436),Industry: Semiconductors & Semiconductor Equipment,Country/Region: Japan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that SUMCO CORPORATION is misaligned with global climate goals and is in line with a business-as-usual scenario.,Sumco is Average among 91 companies in the semiconductors & semiconductor equipment industry.,"Sumco is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","HUMAN CAPITAL DEVELOPMENT, ",33.55%
70,548,SUMITOMO CORPORATION,2023-05-25,(8053),Industry: Trading Companies & Distributors,Country/Region: Japan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that SUMITOMO CORPORATION is misaligned with global climate goals and is in line with a business-as-usual scenario.,Sumitomo is Average among 25 companies in the trading companies & distributors industry.,"LABOR MANAGEMENT, RAW MATERIAL SOURCING, ","CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, ",0.02%
71,549,PT Sumber Alfaria Trijaya Tbk,2023-05-25,(AMRT),Industry: Retail - Food & Staples,Country/Region: Indonesia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that PT Sumber Alfaria Trijaya Tbk is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Alfamart is Average among 42 companies in the retail - food & staples industry.,"PRODUCT SAFETY & QUALITY, PRODUCT CARBON FOOTPRINT, OPPORTUNITIES IN NUTRITION & HEALTH, RAW MATERIAL SOURCING, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, ","LABOR MANAGEMENT, ",
72,550,"Sumitomo Electric Industries, Ltd.",2023-05-25,(5802),Industry: Auto Components,Country/Region: Japan,"An Implied Temperature Rise of above 3.2°C indicates that Sumitomo Electric Industries, Ltd. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",Sumitomo Electric is Average among 32 companies in the auto components industry.,"Sumitomo Electric is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","Sumitomo Electric is not a leader on any of the Key Issues that we evaluated for its industry., ",
